station_icao,station_name
WAAA,Sultan Hasanuddin - Makassar
WABB,Frans Kaisiepo - Biak
WABI,Douw Aturure - Nabire
WABO,Stevanus Rumbewas - Serui
WADB,Sultan Muhammad Salahuddin - Bima
WADD,I Gusti Ngurah Rai - Denpasar
WADL,Bandara Internasional Lombok - Praya
WADS,Sultan Muhammad Kaharuddin - Sumbawa Besar
WADY,Banyuwangi
WAEE,Sultan Babullah - Ternate
WAEG,Gamar Malamo - Galela
WAEK,Kuabang Kao
WAEL,Oesman Sadik - Labuha
WAES,Emalamo - Sanana
WAEW,Pitu - Morotai
WAFB,Bandar Udara Toraja
WAFF,Mutiara SIS Al-Jufri - Palu
WAFJ,Tampa Padang - Mamuju
WAFL,Sultan Bantilan - Toli Toli
WAFM,Andi Jemma - Masamba
WAFP,Kasiguncu - Poso
WAFT,Pongtiku - Tana Toraja
WAFW,Syukuran Aminuddin Amir - Luwuk
WAFY,Pogogul - Buol
WAGB,Haji Muhammad Sidik - Muara Teweh
WAGG,Tjilik Riwut - Palangkaraya
WAGI,Iskandar - Pangkalan Bun
WAGK,Beringin - Muara Teweh
WAGM,Sanggu - Buntok
WAGS,Haji Asan - Sampit
WAHH,Adi Sutjipto - Yogyakarta
WAHI,Yogyakarta International Airport - Kulonprogo
WAHL,Tunggul Wulung - Cilacap
WAHQ,Adi Soemarmo - Surakarta
WAHS,Ahmad Yani - Semarang
WAJI,Mararena / Orai - Sarmi
WAJJ,Sentani - Jayapura
WAKK,Mopah - Merauke
WAKT,Tanah Merah
WALL,Sultan Aji Muhammad Sulaiman - Sepinggan
WALS,Aji Pangeran Tumenggung Pranoto - Samarinda
WAMG,Djalaluddin - Gorontalo
WAMH,Naha - Tahuna
WAMM,Sam Ratulangi - Manado
WAOK,Gusti Sjamsir Alam - Kota Baru
WAOO,Syamsudin Noor - Banjarmasin
WAPA,Amahai
WAPC,Bandaneira - Banda
WAPF,Karel Sadsuitubun - Tual
WAPI,Olilit - Saumlaki
WAPL,Dumatubun - Langgur
WAPP,Pattimura - Ambon
WAPR,Namniwel - Namlea
WAPS,Mathilda Batlayeri - Saumlaki
WAQA,Nunukan
WAQD,Tanjung Harapan - Tanjung Selor
WAQJ,Yuvai Semaring - Long Bawang
WAQL,Long Apung
WAQM,Bandar Udara Robert Atty Bessing
WAQQ,Juwata - Tarakan
WAQT,Kalimarau - Tanjung Redeb
WARA,Abdulrachman Saleh - Malang
WARD,Dhoho
WARE,Noto Hadinegoro - Jember
WARI,Iswahjudi - Madiun
WARR,Juanda - Surabaya
WART,Trunojoyo - Sumenep
WARW,Bawean - Harun Thohir
WASF,Torea - Fak Fak
WASK,Utarom - Kaimana
WASS,Domine Eduard Osok - Sorong
WATA,A.A. Bere Talo / Atambua
WATB,SOA - Bajawa
WATC,Fransiskus Xaverius Seda - Maumere
WATE,H. Hasan Aroeboesman - Ende
WATG,Frans Sales Lega - Ruteng
WATK,Tambolaka - Sumba Barat
WATL,Gewayantana - Larantuka
WATM,Mali - Alor
WATO,Komodo - Labuan Bajo
WATR,David Constantijn Saudale - Rote
WATS,Tardamu - Sabu
WATT,El Tari - Kupang
WATU,Umbu Mehang Kunda - Waingapu
WATW,Wunopito - Lembata
WAUU,Rendani - Manokwari
WAVV,Wamena
WAWB,Beto Ambari - Bau Bau
WAWP,Sangia Nibandera - Kolaka
WAWW,Haluoleo - Kendari
WAYE,Enarotali
WAYY,Mozes Kilangin - Timika
WIBB,Sultan Syarif Kasim II - Pekanbaru
WIBJ,Japura - Rengat
WICA,Kertajati
WICC,Husein Sastranegara - Bandung
WICD,Cakrabhuwana / Penggung - Cirebon
WICM,Wiriadinata - Cibeureum Tasikmalaya
WICS,Suryadarma - Kalijati Subang
WIDD,Hang Nadim - Batam
WIDM,MATAK
WIDN,Raja Haji Fisabilillah - Tanjung Pinang
WIDO,Ranai - Natuna
WIDS,Dabo - Singkep
WIDT,Raja Haji Abdullah - Tanjung Balai Karimun
WIEE,Minangkabau International Airport - Padang
WIET,LANUD Sutan Sjahrir
WIGG,Fatmawati Sukarno - Bengkulu
WIGM,Mukomuko
WIHH,Halim Perdana Kusuma - Jakarta
WIHJ,Atang Sendjaja - Bogor
WIII,Soekarno Hatta - Jakarta
WIJI,Depati Parbo - Kerinci
WIJJ,Sultan Thaha - Jambi
WIKK,Depati Amir - Pangkal Pinang
WIKT,H.A.S. Hanandjoeddin - Tanjung Pandan
WILL,Radin Inten II - Lampung
WILM,Astra Ksetra - Lampung
WIMA,Malikus Saleh - Lhokseumawe
WIMB,Binaka - Gunung Sitoli
WIME,Aek Godang - Padang Sidempuan
WIMM,Kualanamu International Airport - Deli Serdang
WIMN,Silangit - Tapanuli Utara
WIMS,Dr. Ferdinand Lumban Tobing - Pinangsori (Sibolga)
WIOG,Nanga Pinoh
WIOH,Paloh - Sambas
WIOI,Singkawang II - Sanggau Ledo Kalbar
WIOK,Rahadi Oesman - Ketapang
WIOO,Supadio - Pontianak
WIOP,Pangsuma - Putussibau
WIOS,Tebelian - Sintang
WIPP,Sultan Mahmud Badaruddin II - Palembang
WIRR,Budiarto - Curug
WITC,Cut Nyak Dien Nagan Raya - Meulaboh NAD
WITN,Maimun Saleh - Sabang
WITT,Sultan Iskandar Muda - Banda Aceh